2020-05-15 14:36:10,675INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:52:12,260INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:52:12,260INFO    :查询成功，结果为:('v2020.0515.0020',)
2020-05-15 14:52:12,271INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0021', 'WEB', 'GBSS')
2020-05-15 14:52:12,303INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0021', ['test_登录'], ['test_case'], ['0'], 1589525532)
2020-05-15 14:52:12,315INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.195748805999756'], ['test_case'], 'v2020.0515.0021')
2020-05-15 14:52:12,326INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0021')
2020-05-15 14:55:29,132INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:55:29,132INFO    :查询成功，结果为:('v2020.0515.0021',)
2020-05-15 14:55:29,144INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0022', 'WEB', 'GBSS')
2020-05-15 14:55:29,191INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0022', ['test_登录'], ['test_case'], ['0'], 1589525729)
2020-05-15 14:55:29,207INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['3.5329878330230713'], ['test_case'], 'v2020.0515.0022')
2020-05-15 14:55:29,220INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0022')
2020-05-15 14:57:12,259INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:57:12,260INFO    :查询成功，结果为:('v2020.0515.0022',)
2020-05-15 14:57:12,270INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0023', 'WEB', 'GBSS')
2020-05-15 14:57:12,309INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0023', ['test_登录'], ['test_case'], ['0'], 1589525832)
2020-05-15 14:57:12,322INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.7084567546844482'], ['test_case'], 'v2020.0515.0023')
2020-05-15 14:57:12,333INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0023')
2020-05-15 14:57:43,594INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:57:43,595INFO    :查询成功，结果为:('v2020.0515.0023',)
2020-05-15 14:57:43,606INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0024', 'WEB', 'GBSS')
2020-05-15 14:57:43,636INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0024', ['test_登录'], ['test_case'], ['0'], 1589525863)
2020-05-15 14:57:43,647INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.324149370193481'], ['test_case'], 'v2020.0515.0024')
2020-05-15 14:57:43,658INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0024')
2020-05-15 15:03:26,197INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:03:26,198INFO    :查询成功，结果为:('v2020.0515.0024',)
2020-05-15 15:03:26,211INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0025', 'WEB', 'GBSS')
2020-05-15 15:03:26,282INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0025', ['test_登录'], ['test_case'], ['0'], 1589526206)
2020-05-15 15:03:26,305INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.247588157653809'], ['test_case'], 'v2020.0515.0025')
2020-05-15 15:03:26,318INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0025')
2020-05-15 15:05:22,066INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:05:22,067INFO    :查询成功，结果为:('v2020.0515.0025',)
2020-05-15 15:05:22,080INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0026', 'WEB', 'GBSS')
2020-05-15 15:05:22,146INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0026', ['test_登录'], ['test_case'], ['0'], 1589526322)
2020-05-15 15:05:22,159INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.121653318405151'], ['test_case'], 'v2020.0515.0026')
2020-05-15 15:05:22,172INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0026')
2020-05-15 15:08:25,859INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:08:25,859INFO    :查询成功，结果为:('v2020.0515.0026',)
2020-05-15 15:08:25,870INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0027', 'WEB', 'GBSS')
2020-05-15 15:08:25,900INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0027', ['test_登录'], ['test_case'], ['0'], 1589526505)
2020-05-15 15:08:25,912INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.227478265762329'], ['test_case'], 'v2020.0515.0027')
2020-05-15 15:08:25,923INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0027')
2020-05-15 15:10:11,428INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:10:11,428INFO    :查询成功，结果为:('v2020.0515.0027',)
2020-05-15 15:10:11,438INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0028', 'WEB', 'GBSS')
2020-05-15 15:10:11,470INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0028', ['test_登录'], ['test_case'], ['0'], 1589526611)
2020-05-15 15:10:11,481INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.212501525878906'], ['test_case'], 'v2020.0515.0028')
2020-05-15 15:10:11,491INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0028')
2020-05-15 15:17:15,451INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:17:15,451INFO    :查询成功，结果为:('v2020.0515.0028',)
2020-05-15 15:17:15,472INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0029', 'WEB', 'GBSS')
2020-05-15 15:17:15,522INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0029', ['test_登录'], ['test_case'], ['0'], 1589527035)
2020-05-15 15:17:15,536INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.403217554092407'], ['test_case'], 'v2020.0515.0029')
2020-05-15 15:17:15,550INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0029')
2020-05-15 15:31:56,478INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:31:56,479INFO    :查询成功，结果为:('v2020.0515.0029',)
2020-05-15 15:31:56,493INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0030', 'WEB', 'GBSS')
2020-05-15 15:31:56,551INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0030', ['test_登录'], ['test_case'], ['0'], 1589527916)
2020-05-15 15:31:56,561ERROR   :execute failed:UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s
2020-05-15 15:31:56,561ERROR   :param:(['0.0009992122650146484'], ['test_case'], 'v2020.0515.0030')
2020-05-15 15:31:56,563INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['0.0009992122650146484'], ['test_case'], 'v2020.0515.0030')
2020-05-15 15:34:00,492INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:34:00,494INFO    :查询成功，结果为:('v2020.0515.0030',)
2020-05-15 15:34:00,518INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0031', 'WEB', 'GBSS')
2020-05-15 15:34:00,597INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0031', ['test_登录'], ['test_case'], ['0'], 1589528040)
2020-05-15 15:34:00,611INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['13.22952389717102'], ['test_case'], 'v2020.0515.0031')
2020-05-15 15:34:00,623INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0031')
2020-05-15 15:34:58,732INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:34:58,733INFO    :查询成功，结果为:('v2020.0515.0031',)
2020-05-15 15:34:58,752INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0032', 'WEB', 'GBSS')
2020-05-15 15:34:58,848INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0032', ['test_登录'], ['test_case'], ['0'], 1589528098)
2020-05-15 15:34:58,860INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['13.108578205108643'], ['test_case'], 'v2020.0515.0032')
2020-05-15 15:34:58,881INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['\'selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="passwor"]"}\\n  (Session info: chrome=78.0.3904.108'], ['test_case'], 'v2020.0515.0032')
2020-05-15 15:37:38,762INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:37:38,763INFO    :查询成功，结果为:('v2020.0515.0032',)
2020-05-15 15:37:38,774INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0033', 'WEB', 'GBSS')
2020-05-15 15:37:38,815INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0033', ['test_登录'], ['test_case'], ['0'], 1589528258)
2020-05-15 15:37:38,827INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['5.2979958057403564'], ['test_case'], 'v2020.0515.0033')
2020-05-15 15:37:38,839INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0033')
2020-05-15 15:41:05,303INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 15:41:05,303INFO    :查询成功，结果为:('v2020.0515.0033',)
2020-05-15 15:41:05,316INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0034', 'WEB', 'GBSS')
2020-05-15 15:41:05,366INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0034', ['test_登录'], ['test_case'], ['1'], 1589528465)
2020-05-15 15:41:05,378INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['11.20071268081665'], ['test_case'], 'v2020.0515.0034')
2020-05-15 15:41:05,390INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0034')
2020-05-15 16:15:44,688INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 16:15:44,721INFO    :查询成功，结果为:('v2020.0515.0034',)
2020-05-15 16:15:44,736INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0035', 'WEB', 'GBSS')
2020-05-15 16:15:44,895INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0035', ['test_登录'], ['test_case'], ['1'], 1589530544)
2020-05-15 16:15:44,910INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['10.171577453613281'], ['test_case'], 'v2020.0515.0035')
2020-05-15 16:15:44,921INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0035')
2020-05-15 16:16:27,521INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 16:16:27,522INFO    :查询成功，结果为:('v2020.0515.0035',)
2020-05-15 16:16:27,532INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0036', 'WEB', 'GBSS')
2020-05-15 16:16:27,594INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0036', ['test_登录'], ['test_case'], ['1'], 1589530587)
2020-05-15 16:16:27,615INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['19.980348110198975'], ['test_case'], 'v2020.0515.0036')
2020-05-15 16:16:27,634INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0036')
2020-05-18 15:03:15,148INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-18 15:03:15,180INFO    :查询成功，结果为:('v2020.0515.0036',)
2020-05-18 15:03:15,201INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0518.0001', 'WEB', 'GBSS')
2020-05-18 15:03:15,343INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0518.0001', ['test_登录'], ['test_case'], ['1'], 1589785395)
2020-05-18 15:03:15,357INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['22.467215061187744'], ['test_case'], 'v2020.0518.0001')
2020-05-18 15:03:15,369INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0518.0001')
2020-05-18 15:13:14,861INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-18 15:13:14,861INFO    :查询成功，结果为:('v2020.0518.0001',)
2020-05-18 15:13:14,872INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0518.0002', 'WEB', 'GBSS')
2020-05-18 15:13:14,911INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0518.0002', ['test_登录'], ['test_case'], ['0'], 1589785994)
